ID,TransactionDate,HouseAge,DistanceToStation,NumberOfPubs,PostCode,HousePrice
54,2020.06,12,1633.848476,1,5222,333825
55,2020.06,19,1210.128391,0,5212,130584
56,2021.11,0,139.5491926,6,5212,284802
57,2020.01,1,1320.261322,1,5614,251374
58,2021.01,16,678.8892183,4,5213,284616
59,2021.1,31,4097.713619,1,5212,183715
60,2019.1,30,1079.853759,0,5217,143966
61,2019.02,16,3993.543102,0,5213,121648
62,2020.09,2,619.2326206,9,5212,279164
63,2021.12,7,1851.353309,1,5217,200128
64,2020.11,14,167.3383588,1,5217,206643
65,2020.09,31,475.6217482,2,5614,297207
66,2020.03,16,120.5359492,8,5212,303178
67,2021.11,20,2570.390711,4,5212,139235
68,2021.04,1,30.53624135,7,5222,657926
69,2021.09,13,4160.923734,0,5212,167363
70,2021.06,4,141.8975357,9,5217,605856
71,2021.02,37,405.0297567,0,5222,491488
72,2021.1,40,131.6312586,4,5212,452239
73,2020.07,14,461.4991129,1,5213,??
74,2020.02,36,200.8693753,7,5217,403008
75,2021.01,22,4365.457793,0,5217,147956
76,2019.06,14,1884.63857,1,5213,168516
77,2021.04,15,1890.722917,3,5213,190191
78,2020.05,21,2262.256046,3,5213,201075
79,2019.05,17,4152.39896,0,5614,194293
80,2021.03,39,442.0872723,2,5217,287964
81,2021.11,34,408.1964914,8,5212,260630
82,2021.06,16,4084.026488,0,5213,144263
83,2020.12,9,79.36902056,1,5213,302876
84,2019.08,34,158.570316,1,5213,273719
85,2021.01,11,1321.80234,1,5222,341918
86,2020.02,17,555.5794319,6,5213,265347
87,2021.12,30,1145.906611,5,5217,189317
88,2020.12,15,425.3846257,5,5614,445392
89,2019.02,29,100.558441,8,5217,374748
90,2019.1,15,1145.633612,4,5212,195781
91,2021.07,34,218.6649,8,5212,315824
92,2021.07,18,1682.263907,3,5212,156031
93,2021.05,34,478.048393,8,5614,466266
94,2020.06,13,1614.989036,1,5212,184780
95,2019.1,8,2131.420838,3,5614,248308
96,2021.1,36,520.2822336,3,5222,533401
97,2020.08,24,4307.580393,0,5212,93876
98,2021.12,16,186.8889339,5,5222,625632
99,2021.01,16,3954.266483,0,5614,108854
100,2021.07,21,452.7547466,5,5614,496288
101,2020.09,19,904.5582425,0,5222,313540
102,2019.05,13,165.6832101,7,5212,251690
103,2020.03,8,555.7614702,5,5212,369781
104,2019.05,9,2250.771516,3,5212,138956
105,2020.05,22,666.8791977,10,5217,366197
106,2020.05,21,465.8169919,4,5213,318849
107,2020.06,5,291.2734454,6,5212,273339
108,2020.08,32,4004.726896,1,5614,263941
109,2021.05,2,581.96098,10,5213,497326
110,2021.11,22,992.3895246,2,5213,284975
111,2020.11,8,400.8927164,10,5213,398270
112,2020.05,15,573.4602944,1,5212,270307
113,2021.09,14,482.0734011,7,5212,230631
114,2020.1,30,484.6433805,8,5614,484958
115,2019.02,31,484.2397414,6,5217,243445
116,2020.04,3,406.3837198,5,5212,345938
117,2019.11,32,371.3501969,6,5217,331536
118,2021.1,1,128.4104495,0,5217,503653
119,2021.09,36,482.205917,7,5212,320642
120,2019.06,3,70.811395,4,5212,255430
121,2021.09,27,419.8429129,5,5212,249543
122,2020.11,5,186.7806416,9,5217,476680
123,2020.11,30,411.4945688,6,5213,301832
124,2021.12,30,633.2483164,8,5222,460739
125,2021.07,8,1377.092367,0,5213,337975
126,2020.06,15,347.7144089,6,5222,109909
127,2020.03,37,574.0841779,3,5213,229524
128,2020.11,4,158.8289632,5,5222,496714
129,2019.09,9,2412.544146,3,5217,177175
130,2019.06,34,511.4434954,8,5212,250272
131,2019.03,8,163.8731051,5,5217,268398
132,2019.06,15,4048.050207,0,5222,223100
133,2021.01,35,451.9727226,5,5222,405317
134,2020.12,41,313.5694479,7,5212,265208
135,2021.09,13,76.36444162,5,5222,579961
136,2020.12,33,208.4371346,8,5213,301721
137,2021.11,36,585.2767089,8,5222,533157
138,2020.03,2,287.8840999,6,5217,341368
139,2021.11,26,271.9076422,5,5222,456877
140,2019.12,9,47.59220563,7,5217,374551
141,2019.07,37,405.1265465,7,5222,318969
142,2021.09,15,822.751519,4,5212,256394
143,2019.11,4,79.56863275,4,5217,407471
144,2021.02,11,3215.983758,0,5222,611396
145,2019.08,27,584.3260544,5,5212,243410
146,2019.03,16,4027.828265,0,5212,129989
147,2020.05,8,298.1025005,5,5222,624548
148,2020.11,34,396.2686265,8,5217,349625
149,2020.09,9,228.9306548,1,5222,1374277
150,2021.04,25,4241.102702,0,5614,238045
151,2019.05,6,88.75873217,9,5212,302478
152,2021.1,13,1662.256794,2,5213,184231
153,2019.03,34,441.8513325,8,5614,394276
154,2020.09,17,4053.34914,0,5212,125679
155,2020.1,7,187.8759802,5,5222,630150
156,2020.06,0,165.6772172,9,5222,595100
157,2019.01,34,412.8457533,8,5222,468870
158,2021.1,40,153.7333945,4,5212,260012
159,2020.08,31,5316.454501,1,5217,185554
160,2019.04,9,1357.406802,0,5212,238766
161,2019.06,27,190.4850143,8,5217,284066
162,2021.05,34,3055.103471,0,5213,353646
163,2020.04,1,83.49795379,0,5212,354225
164,2020.11,5,181.2799083,9,5212,396219
165,2020.02,13,149.2213314,5,5217,451326
166,2020.05,32,1073.995872,0,5614,75892
167,2020.03,0,2095.029416,3,5222,385087
168,2020.02,20,520.8622294,4,5217,348593
169,2021.03,10,1471.790062,1,5222,380142
170,2020.11,38,403.7629291,1,5212,240766
171,2021.01,29,4504.58205,1,5614,190049
172,2019.01,2,2126.776808,3,5212,137604
173,2021.1,13,564.1451966,6,5217,109539
174,2020.05,11,3073.945738,0,5217,395295
175,2021.1,30,1776.678614,2,5614,301026
176,2019.1,11,1414.17151,1,5614,267505
177,2021.02,9,391.4695392,7,5222,700232
178,2019.01,7,519.721315,5,5217,316057
179,2019.09,26,2931.559147,3,5212,90482
180,2019.1,14,1972.758249,3,5217,145046
181,2019.09,5,269.5301199,6,5212,232309
182,2019.12,27,513.6080191,6,5213,285705
183,2020.09,16,2153.538453,3,5614,252635
184,2020.07,7,188.6035248,5,5222,721101
185,2019.01,29,98.57936614,6,5614,361211
186,2020.09,2,255.4228577,6,5222,458800
187,2021.01,0,174.5131,6,5213,366760
188,2019.09,16,200.0688303,5,5217,329294
189,2020.05,9,538.1472645,5,5222,409325
190,2019.12,3,2146.427791,3,5222,307691
191,2021.12,11,1330.430209,1,5217,244318
192,2019.09,12,1890.607645,2,5614,217997
193,2020.07,3,255.3747809,7,5222,709843
194,2019.02,16,74.56757511,8,5213,317688
195,2021.11,33,94.47978845,7,5222,520080
196,2021.1,14,242.7920166,1,5614,302546
197,2020.07,18,1455.325104,1,5212,182705
198,2019.06,16,4223.152891,0,5222,172075
199,2021.02,32,35.15273431,7,5212,262733
200,2021.07,36,867.7962927,1,5212,213788
201,2019.02,33,278.6606142,7,5213,260424
202,2020.1,11,1739.511593,2,5213,228740
203,2020.09,1,1623.333494,1,5222,293392
204,2019.04,16,3981.352357,0,5217,116307
205,2020.02,27,4328.480181,1,5213,124355
206,2021.11,16,476.8310788,1,5212,301839
207,2020.07,15,370.2358945,5,5614,363642
208,2021.01,16,555.6213653,4,5212,256558
209,2020.06,2,248.9732448,7,5217,458301
210,2019.09,36,276.3198121,9,5212,432523
211,2021.02,30,698.8267524,7,5213,232539
212,2019.07,34,128.4832838,8,5213,285541
213,2021.08,30,860.6797433,7,5217,240245
214,2021.1,31,5367.497367,1,5212,116606
215,2020.07,17,557.5887403,5,5222,583073
216,2021.06,14,1144.458846,1,5614,382826
217,2021.06,0,2243.457023,3,5217,312218
218,2019.09,27,321.49749,8,5614,403719
219,2020.1,35,274.700672,10,5222,576357
220,2019.01,29,39.14515371,6,5222,427243
221,2020.11,29,714.8086441,3,5217,452695
222,2020.09,16,1050.202917,0,5212,159709
223,2021.02,0,311.8003124,6,5222,615267
224,2021.06,12,1640.51833,2,5213,235380
225,2021.03,4,151.3103613,9,5213,478060
226,2020.04,17,334.7043474,5,5213,331160
227,2020.08,29,1619.391495,2,5213,201580
228,2021.03,15,287.9408437,5,5213,461720
229,2021.1,4,518.5263689,9,5212,321673
230,2019.12,7,2074.660893,3,5212,137462
231,2021.09,23,4139.380468,0,5614,280996
232,2021.09,37,542.5711492,0,5212,275490
233,2020.12,32,1216.06443,0,5212,96529
234,2020.01,19,2145.459953,3,5222,299549
235,2021.02,30,508.8288953,3,5614,434614
236,2021.09,40,146.4065294,9,5222,416510
237,2019.01,11,626.3343542,5,5222,390577
238,2020.12,13,1335.895336,1,5217,207700
239,2020.01,11,546.7339652,0,5614,437867
240,2021.05,3,226.371342,4,5614,587456
241,2021.12,12,1505.177941,3,5222,308278
242,2021.09,11,405.25135,1,5222,516274
243,2021.02,20,1130.725548,0,5213,170531
244,2021.07,21,501.7308203,9,5614,499116
245,2021.11,11,1851.591928,2,5217,287331
246,2020.03,17,506.1432825,6,5614,449578
247,2021.03,0,1345.707227,1,5213,225469
248,2019.1,13,2940.574392,0,5217,168700
249,2019.02,30,211.2212286,8,5213,241176
250,2021.07,38,265.6738557,2,5213,267315
251,2019.03,3,398.5297918,5,5222,595223
252,2020.05,34,130.7069756,7,5614,498179
253,2019.02,19,597.4532711,3,5222,480662
254,2021.04,4,173.3729901,7,5212,381442
255,2019.12,19,1034.589612,0,5217,134167
256,2020.03,14,599.2412385,5,5222,436229
257,2019.03,40,157.3849124,8,5614,359561
258,2021.01,3,71.00656742,7,5222,768105
259,2020.02,16,1244.322507,0,5217,206618
260,2020.04,21,2278.867116,3,5212,157326
261,2021.04,14,1742.690578,2,5217,187020
262,2020.04,16,4139.300959,0,5213,82098
263,2021.11,3,560.2784094,5,5213,420120
264,2021.05,0,508.5937086,6,5217,403584
265,2020.1,14,566.7549312,5,5222,539276
266,2019.08,13,1470.406132,1,5614,228263
267,2021.09,4,524.1205537,5,5614,500094
268,2020.06,18,6210.526959,1,5212,92160
269,2021.12,3,346.2440367,6,5222,513700
270,2020.12,1,72.81036,6,5213,452397
271,2021.07,7,154.3833325,5,5217,493132
272,2021.11,32,383.8798848,6,5614,340677
273,2019.05,4,136.90103,9,5222,601449
274,2021.05,17,418.4496583,8,5614,299284
275,2019.08,4,467.184446,5,5222,628382
276,2020.09,40,56.8783255,6,5614,596959
277,2021.11,16,250.8518199,8,5212,349126
278,2021.08,38,465.1666224,7,5213,354612
279,2021.05,7,331.0985868,5,5222,737865
280,2021.06,18,2925.852545,3,5217,263488
281,2020.02,0,37.91983041,0,5213,387928
282,2019.11,19,602.8842387,4,5222,451511
283,2019.12,31,6458.37421,1,5213,79752
284,2021.03,12,1913.190605,2,5213,245016
285,2021.01,13,1727.772531,2,5217,188480
286,2020.02,40,215.787619,8,5217,518256
287,2021.02,29,961.2476098,8,5212,253987
288,2020.01,11,634.7919593,5,5614,388019
289,2020.12,39,301.9400583,5,5222,538522
290,2021.1,4,1601.172434,3,5212,241073
291,2019.11,14,1874.382479,2,5212,112659
292,2019.03,8,325.1767866,9,5213,314766
293,2019.08,19,1614.494511,1,5222,292507
294,2019.11,37,624.9443495,8,5217,267742
295,2019.09,16,2074.931991,3,5614,233910
296,2019.02,14,3939.256432,0,5217,154055
297,2020.08,3,60.84172598,7,5614,516108
298,2021.08,5,234.3028516,9,5212,443692
299,2021.08,3,46.75780069,7,5212,437350
300,2019.01,4,281.8595631,4,5614,463286
301,2019.11,32,337.3715336,8,5222,501366
302,2020.04,14,1214.566786,4,5614,329766
303,2021.02,7,1933.676855,1,5217,168594
304,2021.11,2,279.8461984,0,5212,277089
305,2020.08,32,4172.11452,1,5217,199577
306,2020.02,24,4274.634811,0,5222,275379
307,2020.03,13,3976.240664,0,5217,137155
308,2019.12,34,80.0644679,6,5212,241022
309,2019.04,13,4069.121079,0,5212,60925
310,2019.1,30,121.517103,10,5614,421505
311,2020.12,16,4066.362911,0,5222,248746
312,2021.12,12,1649.75276,2,5212,140148
313,2019.11,18,1770.361174,3,5212,108751
314,2019.07,16,161.6894176,5,5212,245676
315,2019.05,16,1938.104694,2,5222,297246
316,2020.06,40,603.118012,2,5213,279529
317,2019.04,31,420.8311923,8,5222,401130
318,2019.08,5,136.0845329,9,5614,482533
319,2019.11,6,321.3407425,6,5212,252590
320,2020.06,15,1715.61405,2,5212,153989
321,2021.03,14,1799.151252,2,5217,167692
322,2021.05,31,1100.951241,0,5614,160779
323,2019.03,2,2142.772836,3,5222,335595
324,2020.12,15,3347.403699,0,5212,161711
325,2019.06,19,439.9805416,8,5222,382298
326,2021.04,38,29.93980252,7,5614,457248
327,2021.08,34,51.24478586,1,5614,504479
328,2021.08,9,3018.468267,0,5614,273181
329,2020.12,10,631.8348109,5,5212,193940
330,2019.12,11,1409.278536,1,5222,285761
331,2020.11,9,1510.038234,0,5614,507552
332,2020.01,15,4120.018974,0,5213,100252
333,2021.1,0,335.3875671,0,5212,306747
334,2020.02,17,227.6214963,8,5222,590124
335,2019.08,20,153.2156858,6,5222,487094
336,2021.06,20,2102.667034,3,5614,271791
337,2020.09,39,215.4767635,9,5213,244120
338,2021.05,0,42.54330149,6,5212,322329
339,2020.01,16,2106.328162,3,5217,231159
340,2021.05,39,82.6457869,9,5212,244569
341,2020.11,13,1396.976322,1,5222,314483
342,2020.03,17,754.77451,4,5212,235282
343,2019.09,13,4161.970042,0,5212,84002
344,2020.06,7,242.7678242,9,5222,569274
345,2020.07,16,2166.691578,3,5213,151117
346,2019.1,30,648.3947959,8,5212,199113
347,2019.02,12,1398.039716,1,5212,165781
348,2021.03,15,293.9058462,7,5614,487230
349,2020.02,7,499.081549,9,5217,501644
350,2020.07,3,655.6373819,7,5212,266402
351,2021.01,31,1207.74539,0,5217,150376
352,2020.1,16,869.7062199,2,5217,305419
353,2021.07,15,915.9879371,4,5217,320398
354,2020.03,16,779.1917118,4,5217,287110
355,2021.01,20,630.5859653,9,5222,587631
356,2021.05,29,948.442624,7,5614,295320
357,2021.1,21,2539.823517,4,5222,303113
358,2019.1,37,573.9586603,7,5217,234448
359,2021.07,3,351.8915079,10,5222,764017
360,2021.09,11,1645.310547,2,5213,212993
361,2019.03,4,292.85418,9,5614,458958
362,2019.11,39,97.56656329,8,5614,310530
363,2019.02,36,546.5500781,8,5212,203800
364,2019.08,12,70.62621029,8,5614,459141
365,2019.09,38,404.2141923,0,5217,271580
366,2020.08,21,503.7981873,4,5614,450641
367,2019.01,12,1103.690276,4,5213,191062
368,2020.01,2,219.4707778,7,5213,402592
369,2021.03,19,461.496743,4,5217,367654
370,2020.11,34,176.7307239,8,5212,283874
371,2019.09,37,444.7495393,1,5212,187181
372,2019.11,33,257.9052917,10,5213,329606
373,2021.09,17,34.49819228,1,5614,472793
374,2019.07,32,31.53828873,5,5212,164321
375,2020.02,30,4710.352455,1,5217,152490
376,2019.04,9,93.68018007,7,5217,363793
377,2019.08,6,235.6054348,5,5213,379080
378,2021.01,0,188.687567,0,5222,481832
379,2020.01,1,389.0916243,6,5217,360713
380,2020.11,8,156.6918895,5,5212,338185
381,2021.06,33,286.8833416,6,5614,396116
382,2020.05,8,151.0463622,5,5213,425628
383,2020.01,12,235.6612111,7,5213,294633
384,2019.09,1,72.79358001,7,5212,280739
385,2020.04,16,84.56743054,5,5614,533666
386,2020.12,32,217.3906566,9,5222,557968
387,2020.01,14,4288.300089,0,5614,228911
388,2020.12,13,547.6970973,0,5212,261561
389,2020.02,14,619.5569494,7,5213,247852
390,2020.01,15,4075.435586,0,5213,105888
391,2019.11,28,28.06711083,8,5212,208249
392,2019.05,3,2208.330831,3,5222,307233
393,2020.01,3,435.2347345,5,5614,520071
394,2020.08,32,5327.157868,1,5212,114698
395,2020.01,3,116.4271008,7,5614,576716
396,2020.11,17,1367.973448,4,5213,245521
397,2019.07,40,232.4758643,9,5614,290872
398,2020.07,31,1230.614092,0,5222,151764
399,2021.12,21,1976.562454,3,5217,229125
400,2020.1,25,1437.280894,3,5213,245529
401,2019.12,3,261.8891066,7,5614,479410
402,2021.03,13,2233.441392,3,5217,181450
403,2020.07,2,661.8440577,5,5222,681572
404,2019.11,1,27.31396312,5,5222,538052
405,2021.03,11,382.7157755,5,5213,321816
406,2020.07,24,1327.393865,3,5614,331113
407,2020.09,17,1981.53214,3,5614,239788
408,2021.01,41,654.3061848,8,5213,326003
409,2021.1,13,3974.286499,0,5217,138343
410,2019.02,16,3929.230345,0,5213,82390
411,2021.07,28,110.6525565,5,5222,493836
412,2020.05,17,1193.293474,0,5217,188231
413,2020.1,14,3873.680696,0,5217,223326
414,2020.04,13,4187.854393,0,5217,222679
415,2019.07,0,1604.076249,1,5217,174315
416,2020.09,14,2210.749174,2,5213,158148
417,2019.05,15,4157.746612,0,5222,113977
418,2021.01,13,1708.237447,2,5222,293949
419,2019.04,16,500.7352746,8,5213,284120
420,2019.01,38,715.6471418,4,5212,362261
421,2020.1,1,131.716962,6,5217,613383
422,2019.1,32,164.5147734,10,5614,346126
423,2020.12,8,2184.576769,4,5222,270454
424,2020.02,2,554.1719063,6,5614,421128
425,2021.07,30,817.1949398,8,5213,312869
426,2020.04,0,128.2847214,6,5217,580504
427,2021.01,25,2840.652643,3,5212,94049
428,2021.03,18,246.1715279,10,5213,370825
429,2019.01,2,2127.39476,3,5213,175067
430,2021.05,22,3906.369026,0,5213,218995
431,2019.02,0,314.7419831,0,5212,254106
432,2021.05,15,2475.314263,3,5212,190857
433,2019.04,7,407.8876523,5,5213,277420
434,2021.06,18,470.8558181,1,5213,301279
435,2019.01,15,65.17574594,6,5213,234950
436,2021.04,14,681.8038382,2,5222,463105
437,2021.03,18,2211.90596,3,5213,195076
438,2019.06,18,477.7725298,9,5222,458757
439,2020.09,41,172.9070001,4,5217,305956
440,2021.02,40,243.3766281,9,5217,274676
441,2020.07,21,802.4238313,2,5222,567115
442,2021.1,1,166.7677002,6,5212,382252
443,2020.01,29,4350.523862,1,5213,130152
444,2019.07,18,1447.932363,1,5614,232649
445,2021.06,18,580.2852099,5,5213,239839
446,2019.09,9,29.89445362,7,5222,521937
447,2019.01,1,94.67406055,6,5213,457737
448,2019.09,38,878.3857509,4,5212,371246
449,2020.01,8,556.6123154,10,5614,553374
450,2021.06,15,2245.252036,3,5212,199753
451,2021.05,37,46.77659202,9,5614,810527
452,2020.02,14,45.80599754,1,5217,217846
453,2021.04,19,1015.716388,0,5217,209384
454,2020.09,4,651.6879594,5,5212,388885
455,2019.07,34,48.84241368,5,5213,159647
456,2019.06,14,82.981593,5,5213,261678
457,2019.02,14,3948.880448,0,5614,141769
458,2020.1,21,424.3442952,4,5222,517313
459,2021.07,4,563.9490385,9,5212,384237
460,2019.07,10,2067.542954,4,5614,242411
461,2020.08,0,2183.944476,3,5212,210851
462,2021.07,34,576.7132974,6,5217,313332
463,2021.07,31,325.2989839,9,5222,623503
464,2020.09,19,428.5786316,8,5212,183660
465,2021.07,15,2166.029094,3,5614,286229
466,2020.12,32,509.4775248,5,5212,254766
467,2019.12,12,1029.303478,4,5217,216707
468,2021.04,14,63.69312384,6,5212,360580
469,2019.1,15,1396.278383,1,5213,175349
470,2019.03,4,770.0024216,3,5213,259228
471,2021.02,3,82.74418371,7,5222,791029
472,2019.05,10,822.7613917,0,5213,282511
473,2020.1,0,91.51804221,5,5217,446444
474,2021.07,4,183.6497646,9,5614,635307
475,2019.07,17,561.9368092,5,5217,349485
476,2021.08,34,607.6021796,8,5217,387759
477,2021.07,3,146.6630742,7,5212,405466
478,2019.12,1,24.40381642,6,5222,772216
479,2019.02,5,1955.031665,2,5217,273851
480,2019.04,31,5313.143983,1,5217,142770
481,2019.03,30,4207.858916,1,5213,169432
482,2019.03,18,1083.720548,0,5222,248281
483,2020.1,12,288.1154791,7,5222,456062
484,2019.09,17,1348.9826,3,5217,170305
485,2020.01,34,352.6596103,1,5217,360092
486,2020.12,5,1698.39514,1,5213,225432
487,2020.05,0,208.4073534,1,5614,542513
488,2020.02,6,78.99730308,9,5212,363317
489,2020.01,34,462.30268,7,5614,360301
490,2019.01,11,114.4458345,1,5217,193277
491,2020.11,11,359.1611317,5,5614,422174
492,2021.02,5,294.3294322,9,5222,687596
493,2021.03,11,259.2605081,1,5213,316669
494,2019.08,17,640.8297814,4,5212,199682
495,2021.12,17,1786.651396,2,5222,366236
496,2021.08,16,833.9391274,4,5213,291824
497,2019.09,17,1657.912732,2,5222,346930
498,2020.12,11,1344.200133,1,5222,328353
499,2019.06,0,521.5478509,7,5212,213902
500,2019.03,37,417.8967155,3,5217,249188
501,2021.03,35,712.7116123,1,5217,297202
502,2021.11,39,536.5469779,2,5217,347092
503,2020.03,15,31.76205106,7,5213,356680
504,2020.12,28,559.4551736,3,5217,247267
505,2020.11,6,78.65803342,5,5213,408398
506,2019.11,6,61.39111637,9,5217,374228
507,2021.08,31,5315.542162,1,5213,136612
508,2021.04,17,619.1701406,8,5222,357614
509,2019.12,29,606.7636907,4,5217,257328
510,2021.12,21,1197.826018,0,5212,139173
511,2019.04,2,1494.811022,3,5217,216835
512,2019.05,13,131.8719484,7,5212,263497
513,2019.12,13,98.7628346,7,5217,316499
514,2020.11,8,683.2489798,0,5212,261696
515,2020.07,38,306.324203,7,5213,318710
516,2019.12,12,1906.019747,2,5213,164566
517,2020.1,6,2202.382037,3,5213,231522
518,2020.1,19,442.9083013,9,5217,371193
519,2021.11,2,176.1802417,4,5212,387846
520,2019.09,21,593.9815547,9,5614,354740
521,2020.06,13,308.1889362,1,5614,250975
522,2019.06,15,4210.728084,0,5222,173655
523,2020.06,33,139.7158735,6,5217,337173
524,2021.05,16,6297.184324,1,5614,130576
525,2019.01,11,268.549204,1,5212,184927
526,2020.06,41,403.3440667,8,5614,356172
527,2019.07,6,88.91756548,9,5614,501333
528,2021.04,14,2033.095094,3,5212,153573
529,2019.04,37,641.4848185,8,5212,209201
530,2020.11,30,4501.051475,1,5614,164051
531,2019.05,11,1258.071099,4,5212,189896
532,2021.01,34,55.58047849,6,5213,345433
533,2021.03,15,1279.607199,0,5217,246298
534,2019.11,12,1623.990542,1,5614,213235
535,2019.12,19,1646.911233,3,5222,243097
536,2021.08,34,669.1655074,9,5217,385727
537,2020.02,0,87.68380712,6,5217,330204
538,2020.03,15,428.3753546,6,5614,438983
539,2020.03,6,123.9444963,9,5217,503501
540,2020.09,15,6317.983016,1,5614,101403
541,2020.11,16,261.8796544,5,5217,352973
542,2020.08,0,438.0414056,1,5614,429405
543,2021.07,4,610.6512185,9,5212,321512
544,2019.1,4,149.3568318,6,5614,550103
545,2021.12,15,3905.71691,0,5212,88118
546,2021.11,8,917.1305818,0,5213,338693
547,2019.02,5,182.053881,9,5222,509099
548,2021.06,16,594.4248514,5,5217,334205
549,2019.05,14,1006.041126,1,5222,362371
550,2021.07,11,3060.416461,0,5213,372040
551,2020.07,18,1826.073789,3,5217,194010
552,2020.11,16,965.9996511,4,5212,237726
553,2020.02,15,832.9926035,4,5213,288116
554,2020.01,16,648.3636372,1,5222,538548
555,2019.08,16,4087.130264,0,5213,139342
556,2020.04,30,1465.859568,2,5217,218917
557,2020.03,35,449.0029122,8,5213,286058
558,2021.07,16,267.2740501,5,5614,488444
559,2020.11,16,273.0648075,5,5222,630384
560,2020.11,14,30.04232766,5,5213,310536
561,2021.12,13,4009.35225,0,5222,291982
562,2019.03,4,124.4698822,9,5213,406577
563,2019.11,5,96.89418933,6,5222,555152
564,2019.03,27,524.2930433,8,5213,228276
565,2021.05,4,132.6200583,5,5212,372810
566,2019.02,32,397.3084505,8,5222,371267
567,2021.08,7,589.0920042,10,5212,369600
568,2020.07,16,72.46590774,5,5213,349656
569,2021.04,5,131.7076433,9,5614,629776
570,2019.08,8,311.895702,5,5222,567768
571,2019.04,31,1244.124523,0,5222,175515
572,2019.09,16,2399.480927,3,5213,173523
573,2021.02,38,484.8682586,7,5217,269681
574,2019.03,9,464.971254,7,5222,620558
575,2019.05,13,1219.251915,1,5614,261642
576,2020.03,18,1309.573428,0,5213,158728
577,2021.1,17,273.1561788,5,5614,584910
578,2021.11,28,347.1220395,3,5614,395066
579,2021.07,3,36.0545111,8,5212,367187
580,2021.11,16,1438.274136,4,5212,159947
581,2021.09,7,652.2437048,5,5217,390907
582,2021.08,13,534.3013151,5,5222,474037
583,2019.05,13,1763.407627,2,5222,224102
584,2019.09,16,3849.71005,0,5222,466608
585,2021.05,21,1482.798377,3,5217,263902
586,2019.02,24,4466.757745,0,5213,115022
587,2021.04,31,1170.993938,0,5614,154740
588,2020.06,25,2687.103723,3,5213,101082
589,2021.09,3,246.5906057,4,5614,590101
590,2020.01,16,89.20526214,8,5212,316419
591,2021.08,0,61.70367651,5,5614,598128
592,2021.12,40,221.5252363,8,5213,335940
593,2019.03,11,996.710027,4,5614,337753
594,2021.11,32,496.67766,6,5614,338519
595,2020.08,10,108.8514245,1,5212,722012
596,2020.05,2,2090.847785,3,5212,199827
597,2019.1,32,155.8299112,6,5213,248031
598,2020.06,26,484.7910631,3,5212,200619
599,2020.01,39,699.7195742,4,5213,463869
600,2020.12,17,1487.637776,1,5222,313714
601,2020.12,15,1725.049784,2,5614,326804
602,2019.02,21,641.6508338,10,5213,277673
603,2020.02,24,4578.761358,0,5222,198206
604,2021.02,31,621.2070897,7,5222,554586
605,2020.08,7,223.2692868,5,5614,400036
606,2021.05,16,3368.601302,0,5222,334279
